formula,duration,epsilon,sample,positive_status,positive_seconds,positive_value,positive_error,negative_status,negative_seconds,negative_value,negative_error,exact_seconds,status,verdict
phi5,4,1,0,ok,0.012979092018213123,False,,ok,0.012328167038504034,True,,0.012979092018213123,ok,0
phi5,4,1,1,ok,0.016890493978280574,True,,timeout,5.050965308968443,,RuntimeError: Z3 returned unknown: timeout,5.050965308968443,timeout,
phi5,4,1,2,ok,0.007233506010379642,False,,ok,0.007550739974249154,True,,0.007550739974249154,ok,0
phi5,4,2,0,ok,0.006517764995805919,False,,timeout,5.016491704038344,,RuntimeError: Z3 returned unknown: timeout,5.016491704038344,timeout,
phi5,4,2,1,ok,0.0063951159827411175,False,,timeout,5.035995799989905,,RuntimeError: Z3 returned unknown: timeout,5.035995799989905,timeout,
phi5,4,2,2,ok,0.0064487149938941,False,,timeout,5.020694245991763,,RuntimeError: Z3 returned unknown: timeout,5.020694245991763,timeout,
phi5,4,4,0,ok,0.010566844022832811,False,,timeout,5.020728686999064,,RuntimeError: Z3 returned unknown: timeout,5.020728686999064,timeout,
phi5,4,4,1,ok,0.0072512380429543555,False,,timeout,5.019724251993466,,RuntimeError: Z3 returned unknown: timeout,5.019724251993466,timeout,
phi5,4,4,2,ok,0.010844635020475835,False,,timeout,5.031003253010567,,RuntimeError: Z3 returned unknown: timeout,5.031003253010567,timeout,
phi5,8,1,0,ok,0.02515493199462071,False,,timeout,5.041117378976196,,RuntimeError: Z3 returned unknown: timeout,5.041117378976196,timeout,
phi5,8,1,1,ok,0.024871728965081275,False,,timeout,5.047366119979415,,RuntimeError: Z3 returned unknown: timeout,5.047366119979415,timeout,
phi5,8,1,2,ok,0.024681500042788684,False,,ok,0.017088208987843245,True,,0.024681500042788684,ok,0
phi5,8,2,0,ok,0.018889834987930954,False,,timeout,5.046501013042871,,RuntimeError: Z3 returned unknown: timeout,5.046501013042871,timeout,
phi5,8,2,1,ok,0.018014556961134076,False,,timeout,5.029141034989152,,RuntimeError: Z3 returned unknown: timeout,5.029141034989152,timeout,
