formula,duration,epsilon,sample,timed_out_polarity,positive_seconds,negative_seconds
phi5,4,1,1,negative,0.016890493978280574,5.050965308968443
phi5,4,2,0,negative,0.006517764995805919,5.016491704038344
phi5,4,2,1,negative,0.0063951159827411175,5.035995799989905
phi5,4,2,2,negative,0.0064487149938941,5.020694245991763
phi5,4,4,0,negative,0.010566844022832811,5.020728686999064
phi5,4,4,1,negative,0.0072512380429543555,5.019724251993466
phi5,4,4,2,negative,0.010844635020475835,5.031003253010567
phi5,8,1,0,negative,0.02515493199462071,5.041117378976196
phi5,8,1,1,negative,0.024871728965081275,5.047366119979415
phi5,8,2,0,negative,0.018889834987930954,5.046501013042871
phi5,8,2,1,negative,0.018014556961134076,5.029141034989152
phi5,8,2,2,negative,0.018054132000543177,5.047288000001572
phi5,8,4,0,negative,0.018804443010594696,5.029120357008651
phi5,8,4,1,negative,0.026098166999872774,5.03218541899696
phi5,8,8,0,negative,0.025512423017062247,5.032165639044251
phi5,8,8,1,negative,0.024095200991723686,5.048561609000899
phi5,8,8,2,negative,0.025331161974463612,5.032978636038024
phi5,16,1,1,negative,0.05755185603629798,5.0588055300177075
phi5,16,2,0,negative,0.05695239402120933,5.087542423978448
phi5,16,2,1,negative,0.062185782997403294,5.068891289003659
phi5,16,4,0,negative,0.06341933697694913,5.117273306997959
phi5,16,4,1,negative,0.06026366399601102,5.080336718994658
phi5,16,4,2,negative,0.06863411195809022,5.0638293320080265
phi5,16,8,0,negative,0.08293840702390298,5.082098189042881
phi5,16,8,1,negative,0.05580220103729516,5.065943295019679
phi5,16,8,2,negative,0.08216926798922941,5.088805423991289
phi6,4,1,2,negative,0.012506146973464638,5.024326241982635
phi6,4,2,0,negative,0.012710867973510176,5.018704758025706
phi6,4,2,2,negative,0.013424003031104803,5.022068945050705
phi6,4,4,0,negative,0.008270250051282346,5.015460304974113
phi6,4,4,1,negative,0.011401536001358181,5.023405059997458
phi6,4,4,2,negative,0.009296835982240736,5.052302068041172
phi6,8,1,0,negative,0.019405717961490154,5.031416864017956
phi6,8,1,1,negative,0.02140538499224931,5.033613333012909
phi6,8,1,2,negative,0.026572117989417166,5.043799225997645
phi6,8,2,0,negative,0.025945250992663205,5.06961308902828
phi6,8,2,1,negative,0.018879029958043247,5.026652114989702
phi6,8,4,0,negative,0.0274959160014987,5.037618490983732
phi6,8,4,1,negative,0.026287638989742845,5.049139829003252
phi6,8,4,2,negative,0.021969974040985107,5.034968707012013
phi6,8,8,0,negative,0.01849723601480946,5.026339458010625
phi6,8,8,1,negative,0.024614952970296144,5.049103188968729
phi6,8,8,2,negative,0.021530221973080188,5.037186759989709
phi6,16,1,1,negative,0.07152951799798757,5.0754457479924895
phi6,16,2,0,negative,0.0575902359560132,5.102403319033328
phi6,16,2,1,negative,0.06190627097385004,5.061482711986173
phi6,16,4,0,negative,0.07343317801132798,5.079582480015233
phi6,16,4,1,negative,0.05662575300084427,5.066699618997518
phi6,16,4,2,negative,0.0795876610209234,5.063605414004996
phi6,16,8,0,negative,0.08112946600886062,5.080853271996602
phi6,16,8,1,negative,0.08107794099487364,5.069020961003844
phi6,16,8,2,negative,0.0791608479921706,5.092727568000555
