formula,duration,epsilon,sample,positive_status,positive_seconds,positive_value,positive_error,negative_status,negative_seconds,negative_value,negative_error,exact_seconds,status,verdict
phi5,4,1,0,ok,0.030295556993223727,False,,ok,0.027878199995029718,True,,0.030295556993223727,ok,0
phi5,4,1,1,ok,0.047223670000676066,True,,ok,0.049670064996462315,False,,0.049670064996462315,ok,1
phi5,4,1,2,ok,0.02781611098907888,False,,ok,0.02984427596675232,True,,0.02984427596675232,ok,0
phi5,4,2,0,ok,0.1441850700066425,False,,ok,0.09401767700910568,True,,0.1441850700066425,ok,0
phi5,4,2,1,ok,0.16421140398597345,True,,ok,0.1192224949481897,False,,0.16421140398597345,ok,1
phi5,4,2,2,ok,0.1187559730024077,False,,ok,0.0880755289690569,True,,0.1187559730024077,ok,0
phi5,4,4,0,ok,0.18396567204035819,False,,ok,0.15475351200439036,True,,0.18396567204035819,ok,0
phi5,4,4,1,ok,0.1490021999925375,False,,ok,0.14550744101870805,False,,0.1490021999925375,ok,2
phi5,4,4,2,ok,0.18607515300391242,False,,ok,0.16393761499784887,True,,0.18607515300391242,ok,0
phi5,8,1,0,ok,0.09413225896423683,False,,ok,0.08058943698415533,True,,0.09413225896423683,ok,0
phi5,8,1,1,ok,0.10414167598355561,True,,ok,0.08473106496967375,True,,0.10414167598355561,ok,2
phi5,8,1,2,ok,0.15852442098548636,False,,ok,0.11804465798195451,True,,0.15852442098548636,ok,0
phi5,8,2,0,ok,0.44851094600744545,False,,ok,0.3043014889699407,True,,0.44851094600744545,ok,0
phi5,8,2,1,ok,0.6514744520536624,False,,ok,0.4276330469874665,True,,0.6514744520536624,ok,0
phi5,8,2,2,ok,0.6309705220046453,False,,ok,0.3593905490124598,True,,0.6309705220046453,ok,0
phi5,8,4,0,timeout,6.3712255080463365,,RuntimeError: Z3 returned unknown: timeout,ok,4.235953030001838,True,,6.3712255080463365,timeout,
phi5,8,4,1,ok,4.3256228570244275,False,,ok,2.824234979983885,True,,4.3256228570244275,ok,0
