formula,duration,epsilon,sample,positive_status,positive_seconds,negative_status,negative_seconds,exact_seconds
phi5,8,4,0,timeout,6.3712255080463365,ok,4.235953030001838,6.3712255080463365
phi5,8,8,1,ok,4.389803671976551,timeout,6.912260528013576,6.912260528013576
phi5,16,2,1,timeout,6.051528168027289,ok,1.8930285079986788,6.051528168027289
phi5,16,4,0,timeout,8.97062332596397,timeout,8.511981624003965,8.97062332596397
phi5,16,4,1,timeout,9.078424842038658,timeout,9.18241340998793,9.18241340998793
phi5,16,4,2,timeout,8.917066056048498,ok,5.3218201019917615,8.917066056048498
phi5,16,8,0,timeout,28.65164601203287,timeout,37.50979818601627,37.50979818601627
phi5,16,8,1,timeout,29.67602682998404,timeout,32.58096932800254,32.58096932800254
phi5,16,8,2,timeout,32.3883663599845,timeout,33.20123288902687,33.20123288902687
phi6,8,4,1,timeout,6.734343988006003,timeout,6.297706832992844,6.734343988006003
phi6,8,8,1,timeout,7.453472584020346,ok,6.581313364964444,7.453472584020346
phi6,8,8,2,timeout,7.400935561978258,ok,2.080073920020368,7.400935561978258
phi6,16,2,0,timeout,6.102492115984205,ok,3.5855961209745146,6.102492115984205
phi6,16,2,1,timeout,5.996226765040774,ok,2.0386104750214145,5.996226765040774
phi6,16,2,2,timeout,6.40760788298212,ok,1.6298372320015915,6.40760788298212
phi6,16,4,0,timeout,9.276523961976636,timeout,10.630321484990418,10.630321484990418
phi6,16,4,1,timeout,8.909130048996303,timeout,10.173604001989588,10.173604001989588
phi6,16,4,2,timeout,9.21763699798612,ok,9.408223706996068,9.408223706996068
phi6,16,8,0,timeout,27.739224728022236,timeout,42.44623931997921,42.44623931997921
phi6,16,8,1,timeout,30.571854540961795,timeout,35.59333538200008,35.59333538200008
phi6,16,8,2,timeout,31.079528623027727,timeout,27.519131183973514,31.079528623027727
