formula,d,eps,Delta,speedup,incr wall time,time per portion
Psi 1,16,2,4,1.9705644576060957,6.306e-05,1.5765e-05
Psi 1,16,2,8,1.2943530109914152,6.039e-05,3.0195e-05
Psi 1,16,2,16,0.9031646203088326,6.457e-05,6.457e-05
Psi 1,16,4,8,1.1459059561163247,0.00014129,7.0645e-05
Psi 1,16,4,16,0.9126862124152473,0.00014308,0.00014308
Psi 1,16,8,16,0.9287960863049873,0.00021052999999999998,0.00021052999999999998
Psi 1,32,2,4,3.8236519413725336,0.00014048,1.756e-05
Psi 1,32,2,8,2.218934245115868,0.00013790999999999999,3.4477499999999996e-05
Psi 1,32,2,16,1.3429905926567156,0.00013824,6.912e-05
Psi 1,32,2,32,0.9320013049195134,0.00013973,0.00013973
Psi 1,32,4,8,2.0444303700757542,0.00035316,8.829e-05
Psi 1,32,4,16,1.3084242120540133,0.00034106999999999996,0.00017053499999999998
Psi 1,32,4,32,0.9930218167159544,0.00032828999999999996,0.00032828999999999996
Psi 1,32,8,16,1.2030844500176672,0.00086103,0.000430515
Psi 1,32,8,32,1.0065818826098893,0.0008525399999999999,0.0008525399999999999
Psi 1,64,2,4,7.712968522066805,0.00027901,1.7438125e-05
Psi 1,64,2,8,4.167467391584806,0.00027201,3.400125e-05
Psi 1,64,2,16,2.3102716349229597,0.00027356,6.839e-05
Psi 1,64,2,32,1.3961802291513092,0.00027638,0.00013819
Psi 1,64,4,8,4.086020079061619,0.0007173899999999999,8.967374999999999e-05
Psi 1,64,4,16,2.318177813326389,0.00070411,0.0001760275
Psi 1,64,4,32,1.4239112419761175,0.0007128600000000001,0.00035643000000000003
Psi 1,64,8,16,2.173921722368356,0.00209202,0.000523005
Psi 1,64,8,32,1.3661493221733378,0.0021266699999999998,0.0010633349999999999
Psi 1,128,2,4,15.42351431988756,0.00056942,1.7794375e-05
Psi 1,128,2,8,7.909630926247608,0.00056649,3.5405625e-05
Psi 1,128,2,16,4.287684211753083,0.00055232,6.904e-05
Psi 1,128,2,32,2.348760090606548,0.00056215,0.0001405375
Psi 1,128,4,8,8.124867785953386,0.00150397,9.3998125e-05
Psi 1,128,4,16,4.365604223653026,0.00147649,0.00018456125
Psi 1,128,4,32,2.4076908009482914,0.0015017,0.000375425
Psi 1,128,8,16,4.277124546390655,0.00466523,0.00058315375
Psi 1,128,8,32,2.345070618140655,0.00477734,0.001194335
Psi 1,256,2,4,31.269686261242875,0.00114397,1.787453125e-05
Psi 1,256,2,8,15.735956926360991,0.00114433,3.57603125e-05
Psi 1,256,2,16,8.345901122944783,0.00110481,6.9050625e-05
Psi 1,256,2,32,4.300884262889349,0.00113543,0.00014192875
Psi 1,256,4,8,16.202861899058178,0.00305405,9.54390625e-05
Psi 1,256,4,16,8.398651016777121,0.0030165799999999996,0.00018853624999999998
Psi 1,256,4,32,4.35661429236512,0.00308141,0.00038517625
Psi 1,256,8,16,8.341246479020057,0.00971343,0.000607089375
Psi 1,256,8,32,4.296267758125017,0.0099969,0.0012496125
Psi 1,512,2,4,64.62490060193544,0.00229891,1.7960234375e-05
Psi 1,512,2,8,32.39774990101469,0.00228937,3.577140625e-05
Psi 1,512,2,16,16.965688544869934,0.0022155,6.9234375e-05
Psi 1,512,2,32,8.497572208380785,0.0022756499999999997,0.00014222812499999998
Psi 1,512,4,8,32.59871451563742,0.00616391,9.631109375e-05
Psi 1,512,4,16,16.897134616531996,0.006002039999999999,0.00018756374999999998
Psi 1,512,4,32,8.391753384778447,0.006228979999999999,0.00038931124999999996
Psi 1,512,8,16,16.39880706084668,0.019994019999999998,0.0006248131249999999
Psi 1,512,8,32,8.208428207818862,0.02061197,0.001288248125
Psi 2,16,2,4,1.8712469709941886,6.578e-05,1.6445e-05
Psi 2,16,2,8,1.2362758107615681,6.289e-05,3.1445e-05
Psi 2,16,2,16,0.8825533546476646,6.399e-05,6.399e-05
Psi 2,16,4,8,1.1581248154878814,0.00013734,6.867e-05
Psi 2,16,4,16,0.9265637660522674,0.00013685000000000002,0.00013685000000000002
Psi 2,16,8,16,0.9473098780621868,0.00020161000000000002,0.00020161000000000002
Psi 2,32,2,4,3.865121832001204,0.00013671,1.708875e-05
Psi 2,32,2,8,2.2589485828428377,0.00013217,3.30425e-05
Psi 2,32,2,16,1.3553219500842026,0.00013561,6.7805e-05
Psi 2,32,2,32,0.9501967329907675,0.00013357,0.00013357
Psi 2,32,4,8,2.134070125197843,0.00033354,8.3385e-05
Psi 2,32,4,16,1.346712937730361,0.00032898000000000004,0.00016449000000000002
Psi 2,32,4,32,0.9780522307231163,0.00032697,0.00032697
Psi 2,32,8,16,1.193053904424615,0.00086699,0.000433495
Psi 2,32,8,32,0.9963566338449616,0.00085094,0.00085094
Psi 2,64,2,4,7.627050964541211,0.00028081000000000004,1.7550625000000003e-05
Psi 2,64,2,8,4.140012550072808,0.00027196,3.3995e-05
Psi 2,64,2,16,2.3145659024821548,0.0002725,6.8125e-05
Psi 2,64,2,32,1.3923117700135412,0.0002763,0.00013815
Psi 2,64,4,8,4.0509474908166645,0.00072033,9.004125e-05
Psi 2,64,4,16,2.31358639616075,0.0007044,0.0001761
Psi 2,64,4,32,1.4047809163849152,0.00071442,0.00035721
Psi 2,64,8,16,2.167592432891715,0.00209387,0.0005234675
Psi 2,64,8,32,1.359817997504905,0.00213656,0.00106828
Psi 2,128,2,4,15.542997829946268,0.00057029,1.78215625e-05
Psi 2,128,2,8,7.9083629237335495,0.00056752,3.547e-05
Psi 2,128,2,16,4.2679751977166465,0.0005535,6.91875e-05
Psi 2,128,2,32,2.346669333805654,0.00056349,0.0001408725
Psi 2,128,4,8,8.098512592104878,0.00150729,9.4205625e-05
Psi 2,128,4,16,4.338871495164788,0.00148723,0.00018590375
Psi 2,128,4,32,2.3755286961331294,0.00151286,0.000378215
Psi 2,128,8,16,4.246341472119055,0.00467533,0.00058441625
Psi 2,128,8,32,2.3163751106698998,0.0047813099999999996,0.0011953274999999999
Psi 2,256,2,4,30.92630821710111,0.00115691,1.807671875e-05
Psi 2,256,2,8,15.674500039249885,0.00114509,3.57840625e-05
Psi 2,256,2,16,8.279140302288692,0.00110917,6.9323125e-05
Psi 2,256,2,32,4.27066339511909,0.00113906,0.0001423825
Psi 2,256,4,8,16.048591757178375,0.0030564600000000004,9.551437500000001e-05
Psi 2,256,4,16,8.404988447453247,0.00299408,0.00018713
Psi 2,256,4,32,4.3181687013393875,0.00308278,0.0003853475
Psi 2,256,8,16,8.270294847208502,0.009702849999999999,0.0006064281249999999
Psi 2,256,8,32,4.270141927001863,0.00997764,0.001247205
Psi 2,512,2,4,64.623669514543,0.00229324,1.79159375e-05
Psi 2,512,2,8,32.02617104741923,0.00229764,3.5900625e-05
Psi 2,512,2,16,16.756070615687303,0.00221891,6.93409375e-05
Psi 2,512,2,32,8.385933033092666,0.00229079,0.000143174375
Psi 2,512,4,8,32.20154492033394,0.006181809999999999,9.659078124999999e-05
Psi 2,512,4,16,16.80425230430117,0.00598225,0.0001869453125
Psi 2,512,4,32,8.308962520009985,0.006227740000000001,0.00038923375000000004
Psi 2,512,8,16,16.260747059137127,0.01998699,0.0006245934375
Psi 2,512,8,32,8.080027643654194,0.02074163,0.001296351875
Psi 3,16,2,4,1.9739806233665085,6.269999999999999e-05,1.5674999999999998e-05
Psi 3,16,2,8,1.2790214190057896,6.165000000000001e-05,3.0825000000000004e-05
Psi 3,16,2,16,0.9159862208119678,6.365e-05,6.365e-05
Psi 3,16,4,8,1.1558916225126383,0.00013742,6.871e-05
Psi 3,16,4,16,0.9281165158652668,0.00013956,0.00013956
Psi 3,16,8,16,0.9349139678296052,0.00020579,0.00020579
Psi 3,32,2,4,3.8531340962791565,0.00014045,1.755625e-05
Psi 3,32,2,8,2.244619175204105,0.00013613999999999998,3.4034999999999995e-05
Psi 3,32,2,16,1.3579872616418518,0.00013852,6.926e-05
Psi 3,32,2,32,0.9440090039759697,0.0001379,0.0001379
Psi 3,32,4,8,2.092474244012423,0.00034408,8.602e-05
Psi 3,32,4,16,1.2947386613223875,0.00034585999999999997,0.00017292999999999999
Psi 3,32,4,32,0.9367788398019699,0.00034646000000000004,0.00034646000000000004
Psi 3,32,8,16,1.1936306547264584,0.00087097,0.000435485
Psi 3,32,8,32,0.989421540371389,0.00084424,0.00084424
Psi 3,64,2,4,7.70926946579928,0.00027775,1.7359375e-05
Psi 3,64,2,8,4.22582427267762,0.00026879,3.359875e-05
Psi 3,64,2,16,2.3420013546065017,0.00027147,6.78675e-05
Psi 3,64,2,32,1.4122147536411216,0.00027617,0.000138085
Psi 3,64,4,8,4.100011421129489,0.00070599,8.824875e-05
Psi 3,64,4,16,2.297189020250574,0.00070537,0.0001763425
Psi 3,64,4,32,1.4127008595323178,0.00071459,0.000357295
Psi 3,64,8,16,2.142722913726759,0.0021073900000000002,0.0005268475000000001
Psi 3,64,8,32,1.3607342627047307,0.00211509,0.001057545
Psi 3,128,2,4,15.52246503408349,0.00057071,1.78346875e-05
Psi 3,128,2,8,8.207328056282615,0.00054979,3.4361875e-05
Psi 3,128,2,16,4.325636965522468,0.00055191,6.898875e-05
Psi 3,128,2,32,2.351847343897435,0.00056411,0.0001410275
Psi 3,128,4,8,8.159585386118831,0.0014992900000000001,9.370562500000001e-05
Psi 3,128,4,16,4.359879610576001,0.00147876,0.000184845
Psi 3,128,4,32,2.3901759296118366,0.00150792,0.00037698
Psi 3,128,8,16,4.228640361837353,0.00465669,0.00058208625
Psi 3,128,8,32,2.3143173707871236,0.0047592400000000005,0.0011898100000000001
Psi 3,256,2,4,31.56161462430435,0.00114,1.78125e-05
Psi 3,256,2,8,15.964213182756046,0.00113526,3.5476875e-05
Psi 3,256,2,16,8.420321972669514,0.00110545,6.9090625e-05
Psi 3,256,2,32,4.312978130550295,0.00114132,0.000142665
Psi 3,256,4,8,16.250967275982,0.00303388,9.480875e-05
Psi 3,256,4,16,8.4672094192082,0.00298572,0.0001866075
Psi 3,256,4,32,4.314567100387967,0.00309165,0.00038645625
Psi 3,256,8,16,8.239706431475101,0.00970305,0.000606440625
Psi 3,256,8,32,4.262435020599574,0.009951950000000001,0.0012439937500000001
Psi 3,512,2,4,65.50687699812532,0.00228015,1.7813671875e-05
Psi 3,512,2,8,32.94365924885367,0.00226821,3.544078125e-05
Psi 3,512,2,16,17.082106987581554,0.00220667,6.89584375e-05
